item_id,short_effect
181,Held: Consumed at 1/4 max HP to boost Special Attack.
182,Held: Consumed at 1/4 max HP to boost Special Defense.
183,Held: Consumed at 1/4 max HP to boost critical hit ratio by two stages.
184,Held: Consumed at 1/4 max HP to boost a random stat by two stages.
185,Held: Consumed when struck by a super-effective attack to restore 1/4 max HP.
186,Held: Consumed at 1/4 max HP to boost accuracy of next move by 20%. (Gen IV: Perfect accuracy)
187,Held: Consumed at 1/4 max HP when using a move to go first.
188,Held: Consumed to deal 1/8 attacker's max HP when holder is struck by a physical attack.
189,Held: Consumed to deal 1/8 attacker's max HP when holder is struck by a special attack.
190,Held: Increases the holder's evasion by 1/9 (11 1/9%).
191,Held: Resets all lowered stats to normal at end of turn. Consumed after use.
192,"Held: Holder gains double effort values from battles, but has halved Speed in battle."
193,Held: Half the experience from a battle is split between Pokémon holding this item.
194,Held: Holder has a 3/16 (18.75%) chance to move first.
195,Held: Doubles the happiness earned by the holder.
196,"Held: Consumed to cure infatuation. Gen V: Also removes Taunt, Encore, Torment, Disable, and Cursed Body."
197,"Held: Increases Attack by 50%, but restricts the holder to only one move."
198,Held: Damaging moves gain a 10% chance to make their target flinch. Traded on a Poliwhirl: Holder evolves into Politoed. Traded on a Slowpoke: Holder evolves into Slowking.
199,Held: Bug-Type moves from holder do 20% more damage.
200,Held: Doubles the money earned from a battle. Does not stack with Luck Incense.
201,Prevents wild encounters of level lower than your party's lead Pokémon.
202,Raises Latias and Latios's Special Attack and Special Defense by 50%.
203,Doubles Clamperl's Special Attack. Traded on a Clamperl: Holder evolves into Huntail.
204,Doubles Clamperl's Special Defense. Traded on a Clamperl: Holder evolves into Gorebyss.
205,Held: Allows the Holder to escape from any wild battle.
206,Held: Prevents level-based evolution from occuring.
207,Held: Holder has 10% chance to survive attacks or self-inflicted damage at 1 HP.
208,Held: Increases EXP earned in battle by 50%.
209,Held: Raises the holder's critical hit ratio by one stage.
210,Held: Steel-Type moves from holder do 20% more damage.
211,Held: Restores 1/16 (6.25%) holder's max HP at the end of each turn.
212,Traded on a Seadra: Holder evolves into Kingdra.
213,Doubles Pikachu's Attack and Special Attack. Breed on Pikachu or Raichu: Pichu Egg will have Volt Tackle.
214,Held: Ground-Type moves from holder do 20% more damage.
215,Held: Rock-Type moves from holder do 20% more damage.
216,Held: Grass-Type moves from holder do 20% more damage.
217,Held: Dark-Type moves from holder do 20% more damage.
218,Held: Fighting-Type moves from holder do 20% more damage.
219,Held: Electric-Type moves from holder do 20% more damage.
220,Held: Water-Type moves from holder do 20% more damage.
221,Held: Flying-Type moves from holder do 20% more damage.
222,Held: Poison-Type moves from holder do 20% more damage.
223,Held: Ice-Type moves from holder do 20% more damage.
224,Held: Ghost-Type moves from holder do 20% more damage.
225,Held: Psychic-Type moves from holder do 20% more damage.
226,Held: Fire-Type moves from holder do 20% more damage.
227,Held: Dragon-Type moves from holder do 20% more damage.
228,Held: Normal-Type moves from holder do 20% more damage.
229,Traded on a Porygon: Holder evolves into Porygon2.
230,Held: Holder receives 1/8 of the damage it deals when attacking.
231,Held: Water-Type moves from holder do 20% more damage. Breeding: Marill or Azumarill beget an Azurill Egg.
232,Held: Holder's evasion is increased by 5%. Breeding: Wobbuffet begets a Wynaut Egg.
233,Raises Chansey's critical hit ratio by two stages.
234,Raises Ditto's Defense and Special Defense by 50%. The boost is lost after transforming.
235,Doubles Cubone or Marowak's Attack.
236,Raises Farfetch'd's critical hit ratio by two stages.
237,Raises the holder's Coolness while in a contest.
238,Raises the holder's Beauty while in a contest.
239,Raises the holder's Cuteness while in a contest.
240,Raises the holder's Smartness while in a contest.
241,Raises the holder's Toughness while in a contest.
242,Held: Provides a 1/10 (10%) boost in accuracy to the holder.
243,Held: Boosts the damage of physical moves used by the holder by 10%.
244,Held: Boosts the damage of special moves used by the holder by 1/10 (10%).
245,Held: Holder's Super Effective moves do 20% extra damage.
246,Held: Light Screen and Reflect used by the holder last 8 rounds instead of 5.
247,"Held: Holder's moves inflict 30% extra damage, but cost 10% max HP."
248,Held: Both turns of a two-turn charge move happen at once. Consumed upon use.
249,Held: Inflicts Toxic on the holder at the end of the turn. Activates after Poison damage would occur.
250,Held: Inflicts Burn on the holder at the end of the turn. Activates after Burn damage would occur.
251,Doubles Ditto's Speed when held. The boost is lost after transforming.
252,"Held: Holder survives any single-hit attack at 1 HP if at max HP, then the item is consumed."
253,Held: Provides a 1/5 (20%) boost in accuracy if the holder moves after the target.
254,Held: Consectutive uses of the same attack have a cumulative damage boost of 10%. Maximum 100% boost.
255,"Held: Holder's Speed is halved. Negates all Ground-type immunities, and makes Flying-types take neutral damage from Ground-type moves. Arena Trap. Spikes, and Toxic Spikes affect the holder."
256,Held: Holder moves last in its priority bracket.
257,Held: Infatuates opposing Pokémon when holder is inflicted with infatuation.
258,Held: Poison-type holder recovers 1/16 (6.25%) max HP each turn. Non-Poison-Types take 1/8 (12.5%) max HP damage.
259,Held: Hail by the holder lasts 8 rounds instead of 5.
260,Held: Sandstorm by the holder lasts 8 rounds instead of 5.
261,Held: Sunny Day by the holder lasts 8 rounds instead of 5.
262,Held: Rain Dance by the holder lasts 8 rounds instead of 5.
263,Held: Holder's multi-turn trapping moves last 5 turns.
264,"Held: Increases Speed by 50%, but restricts the holder to only one move."
265,"Held: Holder takes 1/8 (12.5%) its max HP at the end of each turn. When the holder is hit by a contact move, the attacking Pokémon takes 1/8 its max HP in damage and receive the item if not holding one."
266,"Held: Holder gains 4 Attack effort values, but has halved Speed in battle."
267,"Held: Holder gains 4 Defense effort values, but has halved Speed in battle."
268,"Held: Holder gains 4 Special Attack effort values, but has halved Speed in battle."
269,"Held: Holder gains 4 Special Defense effort values, but has halved Speed in battle."
270,"Held: Holder gains 4 Speed effort values, but has halved Speed in battle."
271,"Held: Holder gains 4 HP effort values, but has halved Speed in battle."
272,Held: Holder can bypass all trapping effects and switch out. Multi-turn moves still cannot be switched out of.
273,"Held: Increases HP recovered from draining moves, Ingrain, and Aqua Ring by 3/10 (30%)."
274,"Held: Increases Special Attack by 50%, but restricts the holder to only one move."
275,Held: Fire-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Fire.
276,Held: Water-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Water.
277,Held: Electric-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Electric.
278,Held: Grass-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Grass.
279,Held: Ice-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Ice.
280,Held: Fighting-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Fighting.
281,Held: Posion-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Posion.
282,Held: Ground-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Ground.
283,Held: Flying-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Flying.
284,Held: Psychic-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Psychic.
285,Held: Bug-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Bug.
286,Held: Rock-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Rock.
287,Held: Ghost-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Ghost.
288,Held: Dragon-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Dragon.
289,Held: Dark-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Dark.
290,Held: Steel-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Steel.
291,Held: Psychic-Type moves from holder do 20% more damage. Breeding: Mr. Mime begets a Mime Jr. Egg.
292,Held: Rock-Type moves from holder do 20% more damage. Breeding: Sudowoodo begets a Bonsly Egg.
293,Held: Holder moves last in its priority bracket. Breeding: Snorlax begets a Munchlax Egg.
294,Held: Water-Type moves from holder do 20% more damage. Breeding: Mantine begets a Mantyke Egg.
295,Held: Grass-Type moves from holder do 20% more damage. Breeding: Roselia or Roserade beget a Budew Egg.
296,Held: Doubles the money earned from a battle. Does not stack with Amulet Coin. Breeding: Chansey and Blissey beget a Happiny Egg.
297,Prevents wild encounters of level lower than your party's lead Pokémon. Breeding: Chimecho begets a Chingling Egg.
298,Traded on a Rhydon: Holder evolves into Rhyperior.
299,Traded on an Electabuzz: Holder evolves into Electivire.
300,Traded on a Magmar: Holder evolves into Magmortar.
301,Traded on a Porygon2: Holder evolves into Porygon-Z.
302,Traded on a Dusclops: Holder evolves into Dusknoir.
303,Held: Raises the holder's critical hit ratio by one stage. Held by a Sneasel while levelling up at night: Holder evolves into Weavile.
304,Held: Damaging moves gain a 10% chance to make their target flinch. Held by a Gligar while levelling up: Holder evolves into Gliscor.
305,Teaches Hone Claws to a compatible Pokémon. (Gen IV & III: Focus Punch Gen II: DynamicPunch Gen I: Mega Punch)
306,Teaches Dragon Claw to a compatible Pokémon. (Gen II: Headbutt Gen I: Razor Wind)
307,Teaches Psyshock to a compatible Pokémon. (Gen IV & III: Water Pulse Gen II: Curse Gen I: Swords Dance)
308,Teaches Calm Mind to a compatible Pokémon. (Gen II: Rollout Gen I: Whirlwind)
309,Teaches Roar to a compatible Pokémon. (Gen I: Mega Kick)
310,Teaches Toxic to a compatible Pokémon.
311,Teaches Hail to a compatible Pokémon. (Gen II: Zap Cannon Gen I: Horn Drill)
312,Teaches Bulk Up to a compatible Pokémon. (Gen II: Rock Smash Gen I: Body Slam)
313,Teaches Venoshock to a compatible Pokémon. (Gen IV & III: Bullet Seed Gen II: Psych Up Gen I: Take Down)
314,Teaches Hidden Power to a compatible Pokémon. (Gen I: Double-Edge)
315,Teaches Sunny Day to a compatible Pokémon. (Gen I: BubbleBeam)
316,Teaches Taunt to a compatible Pokémon. (Gen II: Sweet Scent Gen I: Water Gun)
317,Teaches Ice Beam to a compatible Pokémon. (Gen II: Snore)
318,Teaches Blizzard to a compatible Pokémon.
319,Teaches Hyper Beam to a compatible Pokémon.
320,Teaches Light Screen to a compatible Pokémon. (Gen II: Icy Wind Gen I: Pay Day)
321,Teaches Protect to a compatible Pokémon. (Gen I: Submission)
322,Teaches Rain Dance to a compatible Pokémon. (Gen I: Counter)
323,Teaches Telekinesis to a compatible Pokémon. (Gen IV & III & II: Giga Drain Gen I: Seismic Toss)
324,Teaches Safeguard to a compatible Pokémon. (Gen II: Endure Gen I: Rage)
325,Teaches Frustration to a compatible Pokémon. (Gen I: Mega Drain)
326,Teaches SolarBeam to a compatible Pokémon.
327,Teaches Smack Down to a compatible Pokémon. (Gen IV & III & II: Iron Tail Gen I: Dragon Rage)
328,Teaches Thunderbolt to a compatible Pokémon. (Gen II: DragonBreath)
329,Teaches Thunder to a compatible Pokémon.
330,Teaches Earthquake to a compatible Pokémon.
331,Teaches Return to a compatible Pokémon. (Gen I: Fissure)
332,Teaches Dig to a compatible Pokémon.
333,Teaches Psychic to a compatible Pokémon.
334,Teaches Shadow Ball to a compatible Pokémon. (Gen I: Teleport)
335,Teaches Brick Break to a compatible Pokémon. (Gen II: Mud-Slap Gen I: Mimic)
336,Teaches Double Team to a compatible Pokémon.
337,Teaches Reflect to a compatible Pokémon. (Gen II: Ice Punch)
338,Teaches Sludge Wave to a compatible Pokémon. (Gen IV & III: Shock Wave Gen II: Swagger Gen I: Bide)
339,Teaches Flamethrower to a compatible Pokémon. (Gen II: Sleep Talk Gen I: Metronome)
340,Teaches Sludge Bomb to a compatible Pokémon. (Gen I: Selfdestruct)
341,Teaches Sandstorm to a compatible Pokémon. (Gen I: Egg Bomb)
342,Teaches Fire Blast to a compatible Pokémon.
343,Teaches Rock Tomb to a compatible Pokémon. (Gen II & I: Swift)
344,Teaches Aerial Ace to a compatible Pokémon. (Gen II: Defense Curl Gen I: Skull Bash)
345,Teaches Torment to a compatible Pokémon. (Gen II: ThunderPunch Gen I: Softboiled)
346,Teaches Facade to a compatible Pokémon. (Gen II & I: Dream Eater)
347,Teaches Flame Charge to a compatible Pokémon. (Gen IV & III: Secret Power Gen II: Detect Gen I: Sky Attack)
348,Teaches Rest to a compatible Pokémon.
349,Teaches Attract to a compatible Pokémon. (Gen I: Thunder Wave)
350,Teaches Thief to a compatible Pokémon. (Gen I: Psywave)
351,Teaches Low Sweep to a compatible Pokémon. (Gen IV & III & II: Steel Wing Gen I: Explosion)
352,Teaches Round to a compatible Pokémon. (Gen IV & III: Skill Swap Gen II: Fire Punch Gen I: Rock Slide)
353,Teaches Echoed Voice to a compatible Pokémon. (Gen IV & III: Snatch Gen II: Fury Cutter Gen I: Tri Attack)
354,Teaches Overheat to a compatible Pokémon. (Gen II: Nightmare Gen I: Substitute)
355,Teaches Ally Switch to a compatible Pokémon. (Gen IV: Roost)
356,Teaches Focus Blast to a compatible Pokémon.
357,Teaches Energy Ball to a compatible Pokémon.
358,Teaches False Swipe to a compatible Pokémon.
359,Teaches Scald to a compatible Pokémon. (Gen IV: Brine)
360,Teaches Fling to a compatible Pokémon.
361,Teaches Charge Beam to a compatible Pokémon.
362,Teaches Sky Drop to a compatible Pokémon. (Gen IV: Endure)
363,Teaches Incinerate to a compatible Pokémon. (Gen IV: Dragon Pulse)
364,Teaches Quash to a compatible Pokémon. (Gen IV: Drain Punch)
365,Teaches Will-O-Wisp to a compatible Pokémon.
366,Teaches Acrobatics to a compatible Pokémon. (Gen IV: Silver Wind)
367,Teaches Embargo to a compatible Pokémon.
368,Teaches Explosion to a compatible Pokémon.
369,Teaches Shadow Claw to a compatible Pokémon.
370,Teaches Payback to a compatible Pokémon.
371,Teaches Retaliate to a compatible Pokémon. (Gen IV: Recycle)
372,Teaches Giga Impact to a compatible Pokémon.
373,Teaches Rock Polish to a compatible Pokémon.
374,Teaches Flash to a compatible Pokémon.
375,Teaches Stone Edge to a compatible Pokémon.
376,Teaches Volt Switch to a compatible Pokémon. (Gen IV: Avalanche)
377,Teaches Thunder Wave to a compatible Pokémon.
378,Teaches Gyro Ball to a compatible Pokémon.
379,Teaches Swords Dance to a compatible Pokémon.
380,Teaches Struggle Bug to a compatible Pokémon. (Gen IV: Stealth Rock)
381,Teaches Psych Up to a compatible Pokémon.
382,Teaches Bulldoze to a compatible Pokémon. (Gen IV: Captivate)
383,Teaches Frost Breath to a compatible Pokémon. (Gen IV: Dark Pulse)
384,Teaches Rock Slide to a compatible Pokémon.
385,Teaches X-Scissor to a compatible Pokémon.
386,Teaches Dragon Tail to a compatible Pokémon. (Gen IV: Sleep Talk)
387,Teaches Work Up to a compatible Pokémon. (Gen IV: Natural Gift)
388,Teaches Poison Jab to a compatible Pokémon.
389,Teaches Dream Eater to a compatible Pokémon.
390,Teaches Grass Knot to a compatible Pokémon.
391,Teaches Swagger to a compatible Pokémon.
392,Teaches Pluck to a compatible Pokémon.
393,Teaches U-turn to a compatible Pokémon.
394,Teaches Substitute to a compatible Pokémon.
395,Teaches Flash Cannon to a compatible Pokémon.
396,Teaches Trick Room to a compatible Pokémon.
397,Teaches Cut to a compatible Pokémon.
398,Teaches Fly to a compatible Pokémon.
399,Teaches Surf to a compatible Pokémon.
400,Teaches Strength to a compatible Pokémon.
401,Teaches Waterfall to a compatible Pokémon. (HS: Whirlpool DPP: Defog Gen III & II & I: Flash)
402,Teaches Dive to a compatible Pokémon. (Gen IV & III: Rock Smash Gen II: Whirlpool)
403,Teaches a move to a compatible Pokémon. (Gen IV & III & II: Waterfall)
404,Teaches a move to a compatible Pokémon. (Gen IV: Rock Climb Gen III: Dive)
405,Allows visiting the Underground.
406,Carries coal mine loot.
407,List of battle types and their rules.
408,Use to track down rare or shiny Pokémon. 50 steps to recharge.
409,Keeps count of Battle Points earned.
410,Records prior significant activities the player took.
411,Stores Seals that can be applied to Poké Ball capsules.
412,Holds Pokémon Accessories for use in Contests.
413,Holds ten Seals for Poké Balls.
414,Use to record Friend Codes and check your own.
415,Grants access to Valley Windworks.
416,Trade to Cynthia's grandmother in Celestic Town for HM04 (Surf).
417,Grants access to Galactic HQ in Veilstone City.
418,Used to bind Palkia and Dialga.
419,Use to see the overworld map.
420,Allows rebattling of on-screen trainers. 100 steps to recharge.
421,Holds coins for the Game Corner.
422,Used to catch Pokémon in bodies of water.
423,Used to catch Pokémon in bodies of water.
424,Used to catch Pokémon in bodies of water.
425,Used to water berries.
426,Holds Poffins.
427,Use for fast transit.
428,Opens a locked building in the Lakeside Resort.
429,"Allows access to Seabreak path, Flower Paradise, and Shaymin."
430,Cures sailor's son of nightmares in Canalave City.
431,Allows access to Newmoon Island and Darkrai.
432,Allows entry into the Hall of Origin. Unreleased.
433,Ticket for a ship. (RSE: S.S. Tidal LF: S.S. Anne HG: S.S. Aqua)
434,Allows participation in Pokémon Contests.
435,Magma is sealed inside.
436,Given to the trainer's rival in Jubilife City. Contains Town Maps.
437,The first of three tickets used to obtain a Pokétch.
438,The second of three tickets used to obtain a Pokétch.
439,The last of three tickets used to obtain a Pokétch.
440,Grants access to the Team Galactic warehouse in Veilstone City.
441,Used to heal the Ampharos at the top of Olivine Lighthouse.
442,"Boosts the damage from Giratina's Dragon-type and Ghost-type moves by 20%, and transforms it into Origin Forme."
443,"Records wireless, Wi-Fi, or Battle Frontier battles, and stores points."
444,Changes an unfrozen Shaymin to Sky Forme in the day.
445,Gen IV: The key to Rotom's appliance room. Gen III: The key to Cinnabar Gym.
446,Holds Apricorns.
447,Allows portable berry growing.
448,Use on Sudowoodo blocking the path on Route 36. Also waters berries.
449,3× effectiveness while fishing. Made from Blu Apricorn.
450,Success rate based off of fraction target Pokémon is of user's Pokémon. Made from Red Apricorn.
451,4× effectiveness on familes of Pokémon with a Moon Stone evolution. Made from Ylw Apricorn.
452,Has flat bonus or penalty to catch rate depending on weight class of target. Made from Blk Apricorn.
453,4× effectiveness on Pokémon with 100 or greater base speed. (Gen II: Roaming or Fleeing Pokémon). Made from Wht Apricorn.
454,Caught Pokémon start with 200 happiness. Made from Grn Apricorn.
455,"8× effectiveness on opposite sex, same species targets of the Active Pokémon. Made from Pnk Apricorn."
456,Catches Pokémon in the Pal Park every time.
457,Tries to catch a Pokémon in the Bug-Catching contest in National Park. (Gen II: Park Ball)
