id,name,type_id,power,pp,accuracy,damage_class_id,effect_id,effect_chance
172,Flame Wheel,10,60,25,100,2,126,10
173,Snore,1,50,15,100,3,93,30
174,Curse,8,,10,,1,110,
175,Flail,1,,15,100,2,100,
176,Conversion 2,1,,30,,1,94,
177,Aeroblast,3,100,5,95,3,44,
178,Cotton Spore,12,,40,100,1,61,
179,Reversal,2,,15,100,2,100,
180,Spite,8,,10,100,1,101,
181,Powder Snow,15,40,25,100,3,6,10
182,Protect,1,,10,,1,112,
183,Mach Punch,2,40,30,100,2,104,
184,Scary Face,1,,10,100,1,61,
185,Feint Attack,17,60,20,,2,18,
186,Sweet Kiss,18,,10,75,1,50,
187,Belly Drum,1,,10,,1,143,
188,Sludge Bomb,4,90,10,100,3,3,30
189,Mud Slap,5,20,10,100,3,74,100
190,Octazooka,11,65,10,85,3,74,50
191,Spikes,5,,20,,1,113,
192,Zap Cannon,13,120,5,50,3,7,100
193,Foresight,1,,40,,1,114,
194,Destiny Bond,8,,5,,1,99,
195,Perish Song,1,,5,,1,115,
196,Icy Wind,15,55,15,95,3,71,100
197,Detect,2,,5,,1,112,
198,Bone Rush,5,25,10,90,2,30,
199,Lock On,1,,5,,1,95,
200,Outrage,16,120,10,100,2,28,
201,Sandstorm,6,,10,,1,116,
202,Giga Drain,12,75,10,100,3,4,
203,Endure,1,,10,,1,117,
204,Charm,18,,20,100,1,59,
205,Rollout,6,30,20,90,2,118,
206,False Swipe,1,40,40,100,2,102,
207,Swagger,1,,15,85,1,119,
208,Milk Drink,1,,10,,1,33,
209,Spark,13,65,20,100,2,7,30
210,Fury Cutter,7,40,20,95,2,120,
211,Steel Wing,9,70,25,90,2,139,10
212,Mean Look,1,,5,,1,107,
213,Attract,1,,15,100,1,121,
214,Sleep Talk,1,,10,,1,98,
215,Heal Bell,1,,5,,1,103,
216,Return,1,,20,100,2,122,
217,Present,1,,15,90,2,123,
218,Frustration,1,,20,100,2,124,
219,Safeguard,1,,25,,1,125,
220,Pain Split,1,,20,,1,92,
221,Sacred Fire,10,100,5,95,2,126,50
222,Magnitude,5,,30,100,2,127,
223,Dynamic Punch,2,100,5,50,2,77,100
224,Megahorn,7,120,10,85,2,1,
225,Dragon Breath,16,60,20,100,3,7,30
226,Baton Pass,1,,40,,1,128,
227,Encore,1,,5,100,1,91,
228,Pursuit,17,40,20,100,2,129,
229,Rapid Spin,1,20,40,100,2,130,
230,Sweet Scent,1,,20,100,1,25,
231,Iron Tail,9,100,15,75,2,70,30
232,Metal Claw,9,50,35,95,2,140,10
233,Vital Throw,2,70,10,,2,79,
234,Morning Sun,1,,5,,1,133,
235,Synthesis,12,,5,,1,133,
236,Moonlight,18,,5,,1,133,
237,Hidden Power,1,60,15,100,3,136,
238,Cross Chop,2,100,5,80,2,44,
239,Twister,16,40,20,100,3,147,20
240,Rain Dance,11,,5,,1,137,
241,Sunny Day,10,,5,,1,138,
242,Crunch,17,80,15,100,2,70,20
243,Mirror Coat,14,,20,100,3,145,
244,Psych Up,1,,10,,1,144,
245,Extreme Speed,1,80,5,100,2,104,
246,Ancient Power,6,60,5,100,3,141,10
247,Shadow Ball,8,80,15,100,3,73,20
248,Future Sight,14,120,10,100,3,149,
249,Rock Smash,2,40,15,100,2,70,50
250,Whirlpool,11,35,15,85,3,262,100
251,Beat Up,17,,10,100,2,155,
252,Fake Out,1,40,10,100,2,159,100
253,Uproar,1,90,10,100,3,160,
254,Stockpile,1,,20,,1,161,
255,Spit Up,1,,10,100,3,162,
256,Swallow,1,,10,,1,163,
257,Heat Wave,10,95,10,90,3,5,10
258,Hail,15,,10,,1,165,
259,Torment,17,,15,100,1,166,
260,Flatter,17,,15,100,1,167,
261,Will O Wisp,10,,15,85,1,168,
262,Memento,17,,10,100,1,169,
263,Facade,1,70,20,100,2,170,
264,Focus Punch,2,150,20,100,2,171,
265,Smelling Salts,1,70,10,100,2,172,
266,Follow Me,1,,20,,1,173,
267,Nature Power,1,,20,,1,174,
268,Charge,13,,20,,1,175,
269,Taunt,17,,20,100,1,176,
270,Helping Hand,1,,20,,1,177,
271,Trick,14,,10,100,1,178,
272,Role Play,14,,10,,1,179,
273,Wish,1,,10,,1,180,
274,Assist,1,,20,,1,181,
275,Ingrain,12,,20,,1,182,
276,Superpower,2,120,5,100,2,183,100
277,Magic Coat,14,,15,,1,184,
278,Recycle,1,,10,,1,185,
279,Revenge,2,60,10,100,2,186,
280,Brick Break,2,75,15,100,2,187,
281,Yawn,1,,10,,1,188,
282,Knock Off,17,65,20,100,2,189,
283,Endeavor,1,,5,100,2,190,
284,Eruption,10,150,5,100,3,191,
285,Skill Swap,14,,10,,1,192,
286,Imprison,14,,10,,1,193,
287,Refresh,1,,20,,1,194,
288,Grudge,8,,5,,1,195,
289,Snatch,17,,10,,1,196,
290,Secret Power,1,70,20,100,2,198,30
291,Dive,11,80,10,100,2,256,
292,Arm Thrust,2,15,20,100,2,30,
293,Camouflage,1,,20,,1,214,
294,Tail Glow,7,,20,,1,322,
295,Luster Purge,14,70,5,100,3,73,50
296,Mist Ball,14,70,5,100,3,72,50
297,Feather Dance,3,,15,100,1,59,
298,Teeter Dance,1,,20,100,1,200,
299,Blaze Kick,10,85,10,90,2,201,10
300,Mud Sport,5,,15,,1,202,
301,Ice Ball,15,30,20,90,2,118,
302,Needle Arm,12,60,15,100,2,32,30
303,Slack Off,1,,10,,1,33,
304,Hyper Voice,1,90,10,100,3,1,
305,Poison Fang,4,50,15,100,2,203,50
306,Crush Claw,1,75,10,95,2,70,50
307,Blast Burn,10,150,5,90,3,81,
308,Hydro Cannon,11,150,5,90,3,81,
309,Meteor Mash,9,90,10,90,2,140,20
310,Astonish,8,30,15,100,2,32,30
311,Weather Ball,1,50,10,100,3,204,
312,Aromatherapy,12,,5,,1,103,
313,Fake Tears,17,,20,100,1,63,
314,Air Cutter,3,60,25,95,3,44,
315,Overheat,10,130,5,90,3,205,100
316,Odor Sleuth,1,,40,,1,114,
317,Rock Tomb,6,60,15,95,2,71,100
318,Silver Wind,7,60,5,100,3,141,10
319,Metal Sound,9,,40,85,1,63,
320,Grass Whistle,12,,15,55,1,2,
321,Tickle,1,,20,100,1,206,
322,Cosmic Power,14,,20,,1,207,
323,Water Spout,11,150,5,100,3,191,
324,Signal Beam,7,75,15,100,3,77,10
325,Shadow Punch,8,60,20,,2,18,
326,Extrasensory,14,80,20,100,3,32,10
327,Sky Uppercut,2,85,15,90,2,208,
328,Sand Tomb,5,35,15,85,2,43,100
329,Sheer Cold,15,,5,30,3,39,
330,Muddy Water,11,90,10,85,3,74,30
331,Bullet Seed,12,25,30,100,2,30,
332,Aerial Ace,3,60,20,,2,18,
333,Icicle Spear,15,25,30,100,2,30,
334,Iron Defense,9,,15,,1,52,
335,Block,1,,5,,1,107,
336,Howl,1,,40,,1,11,
337,Dragon Claw,16,80,15,100,2,1,
338,Frenzy Plant,12,150,5,90,3,81,
339,Bulk Up,2,,20,,1,209,
340,Bounce,3,85,5,85,2,264,30
341,Mud Shot,5,55,15,95,3,71,100
342,Poison Tail,4,50,25,100,2,210,10
343,Covet,1,60,25,100,2,106,
344,Volt Tackle,13,120,15,100,2,263,10
345,Magical Leaf,12,60,20,,3,18,
346,Water Sport,11,,15,,1,211,
347,Calm Mind,14,,20,,1,212,
348,Leaf Blade,12,90,15,100,2,44,
349,Dragon Dance,16,,20,,1,213,
350,Rock Blast,6,25,10,90,2,30,
351,Shock Wave,13,60,20,,3,18,
352,Water Pulse,11,60,20,100,3,77,20
353,Doom Desire,9,140,5,100,3,149,
354,Psycho Boost,14,140,5,90,3,205,100
355,Roost,3,,10,,1,215,
356,Gravity,14,,5,,1,216,
357,Miracle Eye,14,,40,,1,217,
358,Wake Up Slap,2,70,10,100,2,218,
359,Hammer Arm,2,100,10,90,2,219,100
360,Gyro Ball,9,,5,100,2,220,
361,Healing Wish,14,,10,,1,221,
362,Brine,11,65,10,100,3,222,
363,Natural Gift,1,,15,100,2,223,
364,Feint,1,30,10,100,2,224,
365,Pluck,3,60,20,100,2,225,
366,Tailwind,3,,15,,1,226,
367,Acupressure,1,,30,,1,227,
368,Metal Burst,9,,10,100,2,228,
369,U Turn,7,70,20,100,2,229,
370,Close Combat,2,120,5,100,2,230,100
371,Payback,17,50,10,100,2,231,
372,Assurance,17,60,10,100,2,232,
373,Embargo,17,,15,100,1,233,
374,Fling,17,,10,100,2,234,
375,Psycho Shift,14,,10,100,1,235,
376,Trump Card,1,,5,,3,236,
377,Heal Block,14,,15,100,1,237,
378,Wring Out,1,,5,100,3,238,
379,Power Trick,14,,10,,1,239,
380,Gastro Acid,4,,10,100,1,240,
381,Lucky Chant,1,,30,,1,241,
382,Me First,1,,20,,1,242,
383,Copycat,1,,20,,1,243,
384,Power Swap,14,,10,,1,244,
385,Guard Swap,14,,10,,1,245,
386,Punishment,17,,5,100,2,246,
387,Last Resort,1,140,5,100,2,247,
388,Worry Seed,12,,10,100,1,248,
389,Sucker Punch,17,70,5,100,2,249,
390,Toxic Spikes,4,,20,,1,250,
391,Heart Swap,14,,10,,1,251,
392,Aqua Ring,11,,20,,1,252,
393,Magnet Rise,13,,10,,1,253,
394,Flare Blitz,10,120,15,100,2,254,10
395,Force Palm,2,60,10,100,2,7,30
396,Aura Sphere,2,80,20,,3,18,
397,Rock Polish,6,,20,,1,53,
398,Poison Jab,4,80,20,100,2,3,30
399,Dark Pulse,17,80,15,100,3,32,20
400,Night Slash,17,70,15,100,2,44,
401,Aqua Tail,11,90,10,90,2,1,
402,Seed Bomb,12,80,15,100,2,1,
403,Air Slash,3,75,15,95,3,32,30
404,X Scissor,7,80,15,100,2,1,
405,Bug Buzz,7,90,10,100,3,73,10
406,Dragon Pulse,16,85,10,100,3,1,
407,Dragon Rush,16,100,10,75,2,32,20
408,Power Gem,6,80,20,100,3,1,
409,Drain Punch,2,75,10,100,2,4,
410,Vacuum Wave,2,40,30,100,3,104,
411,Focus Blast,2,120,5,70,3,73,10
412,Energy Ball,12,90,10,100,3,73,10
413,Brave Bird,3,120,15,100,2,199,
414,Earth Power,5,90,10,100,3,73,10
415,Switcheroo,17,,10,100,1,178,
416,Giga Impact,1,150,5,90,2,81,
417,Nasty Plot,17,,20,,1,54,
418,Bullet Punch,9,40,30,100,2,104,
419,Avalanche,15,60,10,100,2,186,
420,Ice Shard,15,40,30,100,2,104,
421,Shadow Claw,8,70,15,100,2,44,
422,Thunder Fang,13,65,15,95,2,276,10
423,Ice Fang,15,65,15,95,2,275,10
424,Fire Fang,10,65,15,95,2,274,10
425,Shadow Sneak,8,40,30,100,2,104,
426,Mud Bomb,5,65,10,85,3,74,30
427,Psycho Cut,14,70,20,100,2,44,
428,Zen Headbutt,14,80,15,90,2,32,20
429,Mirror Shot,9,65,10,85,3,74,30
430,Flash Cannon,9,80,10,100,3,73,10
431,Rock Climb,1,90,20,85,2,77,20
432,Defog,3,,15,,1,259,
433,Trick Room,14,,5,,1,260,
434,Draco Meteor,16,130,5,90,3,205,100
435,Discharge,13,80,15,100,3,7,30
436,Lava Plume,10,80,15,100,3,5,30
437,Leaf Storm,12,130,5,90,3,205,100
438,Power Whip,12,120,10,85,2,1,
439,Rock Wrecker,6,150,5,90,2,81,
440,Cross Poison,4,70,20,100,2,210,10
441,Gunk Shot,4,120,5,80,2,3,30
442,Iron Head,9,80,15,100,2,32,30
443,Magnet Bomb,9,60,20,,2,18,
444,Stone Edge,6,100,5,80,2,44,
445,Captivate,1,,20,100,1,266,
446,Stealth Rock,6,,20,,1,267,
447,Grass Knot,12,,20,100,3,197,
448,Chatter,3,65,20,100,3,268,100
449,Judgment,1,100,10,100,3,269,
450,Bug Bite,7,60,20,100,2,225,
451,Charge Beam,13,50,10,90,3,277,70
452,Wood Hammer,12,120,15,100,2,199,
453,Aqua Jet,11,40,20,100,2,104,
454,Attack Order,7,90,15,100,2,44,
455,Defend Order,7,,10,,1,207,
456,Heal Order,7,,10,,1,33,
457,Head Smash,6,150,5,80,2,270,
458,Double Hit,1,35,10,90,2,45,
459,Roar Of Time,16,150,5,90,3,81,
460,Spacial Rend,16,100,5,95,3,44,
461,Lunar Dance,14,,10,,1,271,
462,Crush Grip,1,,5,100,2,238,
463,Magma Storm,10,100,5,75,3,43,100
464,Dark Void,17,,10,50,1,2,
465,Seed Flare,12,120,5,85,3,272,40
466,Ominous Wind,8,60,5,100,3,141,10
467,Shadow Force,8,120,5,100,2,273,
468,Hone Claws,17,,15,,1,278,
469,Wide Guard,6,,10,,1,279,
470,Guard Split,14,,10,,1,280,
471,Power Split,14,,10,,1,281,
472,Wonder Room,14,,10,,1,282,
473,Psyshock,14,80,10,100,3,283,
474,Venoshock,4,65,10,100,3,284,
475,Autotomize,9,,15,,1,285,
476,Rage Powder,7,,20,,1,173,
477,Telekinesis,14,,15,,1,286,
478,Magic Room,14,,10,,1,287,
479,Smack Down,6,50,15,100,2,288,100
480,Storm Throw,2,60,10,100,2,289,
481,Flame Burst,10,70,15,100,3,290,
482,Sludge Wave,4,95,10,100,3,3,10
483,Quiver Dance,7,,20,,1,291,
484,Heavy Slam,9,,10,100,2,292,
485,Synchronoise,14,120,10,100,3,293,
486,Electro Ball,13,,10,100,3,294,
487,Soak,11,,20,100,1,295,
488,Flame Charge,10,50,20,100,2,296,100
489,Coil,4,,20,,1,323,
490,Low Sweep,2,65,20,100,2,21,100
491,Acid Spray,4,40,20,100,3,297,100
492,Foul Play,17,95,15,100,2,298,
493,Simple Beam,1,,15,100,1,299,
494,Entrainment,1,,15,100,1,300,
495,After You,1,,15,,1,301,
496,Round,1,60,15,100,3,302,
497,Echoed Voice,1,40,15,100,3,303,
498,Chip Away,1,70,20,100,2,304,
499,Clear Smog,4,50,15,,3,305,
500,Stored Power,14,20,10,100,3,306,
501,Quick Guard,2,,15,,1,307,
502,Ally Switch,14,,15,,1,308,
503,Scald,11,80,15,100,3,5,30
504,Shell Smash,1,,15,,1,309,
505,Heal Pulse,14,,10,,1,310,
506,Hex,8,65,10,100,3,311,
507,Sky Drop,3,60,10,100,2,312,
508,Shift Gear,9,,10,,1,313,
509,Circle Throw,2,60,10,90,2,314,
510,Incinerate,10,60,15,100,3,315,
511,Quash,17,,15,100,1,316,
512,Acrobatics,3,55,15,100,2,318,
513,Reflect Type,1,,15,,1,319,
514,Retaliate,1,70,5,100,2,320,
515,Final Gambit,2,,5,100,3,321,
516,Bestow,1,,15,,1,324,
517,Inferno,10,100,5,50,3,5,100
518,Water Pledge,11,80,10,100,3,325,
519,Fire Pledge,10,80,10,100,3,326,
520,Grass Pledge,12,80,10,100,3,327,
521,Volt Switch,13,70,20,100,3,229,
522,Struggle Bug,7,50,20,100,3,72,100
523,Bulldoze,5,60,20,100,2,71,100
524,Frost Breath,15,60,10,90,3,289,100
525,Dragon Tail,16,60,10,90,2,314,
526,Work Up,1,,30,,1,328,
527,Electroweb,13,55,15,95,3,21,100
528,Wild Charge,13,90,15,100,2,49,
529,Drill Run,5,80,10,95,2,44,
530,Dual Chop,16,40,15,90,2,45,
531,Heart Stamp,14,60,25,100,2,32,30
532,Horn Leech,12,75,10,100,2,4,
533,Sacred Sword,2,90,15,100,2,304,
534,Razor Shell,11,75,10,95,2,70,50
535,Heat Crash,10,,10,100,2,292,
536,Leaf Tornado,12,65,10,90,3,74,50
537,Steamroller,7,65,20,100,2,151,30
538,Cotton Guard,12,,10,,1,329,
539,Night Daze,17,85,10,95,3,74,40
540,Psystrike,14,100,10,100,3,283,
541,Tail Slap,1,25,10,85,2,30,
542,Hurricane,3,110,10,70,3,334,30
543,Head Charge,1,120,15,100,2,49,
544,Gear Grind,9,50,15,85,2,45,
545,Searing Shot,10,100,5,100,3,5,30
546,Techno Blast,1,120,5,100,3,269,
547,Relic Song,1,75,10,100,3,330,10
548,Secret Sword,2,85,10,100,3,283,
549,Glaciate,15,65,10,95,3,331,100
550,Bolt Strike,13,130,5,85,2,7,20
551,Blue Flare,10,130,5,85,3,5,20
552,Fiery Dance,10,80,10,100,3,277,50
553,Freeze Shock,15,140,5,90,2,332,30
554,Ice Burn,15,140,5,90,3,333,30
555,Snarl,17,55,15,95,3,72,100
556,Icicle Crash,15,85,10,90,2,32,30
557,V Create,10,180,5,95,2,335,100
558,Fusion Flare,10,100,5,100,3,336,
559,Fusion Bolt,13,100,5,100,2,337,
560,Flying Press,2,100,10,95,2,338,
561,Mat Block,2,,10,,1,377,
562,Belch,4,120,10,90,3,339,
563,Rototiller,5,,10,,1,340,100
564,Sticky Web,7,,20,,1,341,
565,Fell Stinger,7,50,25,100,2,342,
566,Phantom Force,8,90,10,100,2,273,
567,Trick Or Treat,8,,20,100,1,343,
568,Noble Roar,1,,30,100,1,344,100
569,Ion Deluge,13,,25,,1,345,
570,Parabolic Charge,13,65,20,100,3,346,
571,Forests Curse,12,,20,100,1,376,
572,Petal Blizzard,12,90,15,100,2,379,
573,Freeze Dry,15,70,20,100,3,380,10
574,Disarming Voice,18,40,15,,3,381,
575,Parting Shot,17,,20,100,1,347,100
576,Topsy Turvy,17,,20,,1,348,
577,Draining Kiss,18,50,10,100,3,349,
578,Crafty Shield,18,,10,,1,350,
579,Flower Shield,18,,10,,1,351,100
580,Grassy Terrain,12,,10,,1,352,
581,Misty Terrain,18,,10,,1,353,
582,Electrify,13,,20,,1,354,
583,Play Rough,18,90,10,90,2,69,10
584,Fairy Wind,18,40,30,100,3,1,
585,Moonblast,18,95,15,100,3,72,30
586,Boomburst,1,140,10,100,3,379,
587,Fairy Lock,18,,10,,1,355,
588,Kings Shield,9,,10,,1,356,
589,Play Nice,1,,20,,1,357,100
590,Confide,1,,20,,1,358,100
591,Diamond Storm,6,100,5,95,2,359,50
592,Steam Eruption,11,110,5,95,3,5,30
593,Hyperspace Hole,14,80,5,,3,360,
594,Water Shuriken,11,15,20,100,3,361,
595,Mystical Fire,10,75,10,100,3,72,100
596,Spiky Shield,12,,10,,1,362,
597,Aromatic Mist,18,,20,,1,363,
598,Eerie Impulse,13,,15,100,1,62,
599,Venom Drench,4,,20,100,1,364,100
600,Powder,7,,20,100,1,378,
601,Geomancy,18,,10,,1,366,
602,Magnetic Flux,13,,20,,1,367,
603,Happy Hour,1,,30,,1,368,
604,Electric Terrain,13,,10,,1,369,
605,Dazzling Gleam,18,80,10,100,3,1,
606,Celebrate,1,,40,,1,370,
607,Hold Hands,1,,40,,1,371,
608,Baby Doll Eyes,18,,30,100,1,365,
609,Nuzzle,13,20,20,100,2,372,100
610,Hold Back,1,40,40,100,2,102,
611,Infestation,7,20,20,100,3,43,100
612,Power Up Punch,2,40,20,100,2,375,100
613,Oblivion Wing,3,80,10,100,3,349,
614,Thousand Arrows,5,90,10,100,2,373,100
615,Thousand Waves,5,90,10,100,2,374,
616,Lands Wrath,5,90,10,100,2,1,
617,Light Of Ruin,18,140,5,90,3,270,
618,Origin Pulse,11,110,10,85,3,1,
619,Precipice Blades,5,120,10,85,2,1,
620,Dragon Ascent,3,120,5,100,2,230,100
621,Hyperspace Fury,17,100,5,,2,360,100
622,Breakneck Blitz  Physical,1,,1,,2,1,
623,Breakneck Blitz  Special,1,,1,,3,1,
624,All Out Pummeling  Physical,2,,1,,2,1,
625,All Out Pummeling  Special,2,,1,,3,1,
626,Supersonic Skystrike  Physical,3,,1,,2,1,
627,Supersonic Skystrike  Special,3,,1,,3,1,
628,Acid Downpour  Physical,4,,1,,2,1,
629,Acid Downpour  Special,4,,1,,3,1,
630,Tectonic Rage  Physical,5,,1,,2,1,
631,Tectonic Rage  Special,5,,1,,3,1,
632,Continental Crush  Physical,6,,1,,2,1,
633,Continental Crush  Special,6,,1,,3,1,
634,Savage Spin Out  Physical,7,,1,,2,1,
635,Savage Spin Out  Special,7,,1,,3,1,
636,Never Ending Nightmare  Physical,8,,1,,2,1,
637,Never Ending Nightmare  Special,8,,1,,3,1,
638,Corkscrew Crash  Physical,9,,1,,2,1,
639,Corkscrew Crash  Special,9,,1,,3,1,
640,Inferno Overdrive  Physical,10,,1,,2,1,
641,Inferno Overdrive  Special,10,,1,,3,1,
642,Hydro Vortex  Physical,11,,1,,2,1,
643,Hydro Vortex  Special,11,,1,,3,1,
644,Bloom Doom  Physical,12,,1,,2,1,
645,Bloom Doom  Special,12,,1,,3,1,
646,Gigavolt Havoc  Physical,13,,1,,2,1,
647,Gigavolt Havoc  Special,13,,1,,3,1,
648,Shattered Psyche  Physical,14,,1,,2,1,
649,Shattered Psyche  Special,14,,1,,3,1,
650,Subzero Slammer  Physical,15,,1,,2,1,
651,Subzero Slammer  Special,15,,1,,3,1,
652,Devastating Drake  Physical,16,,1,,2,1,
653,Devastating Drake  Special,16,,1,,3,1,
654,Black Hole Eclipse  Physical,17,,1,,2,1,
